State,LGA,Payment,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24
Queensland,Diamantina Shire Council,Total Financial Assistance Grant (inc Early Payment),"$3,094,221","$3,131,593","$3,178,381","$3,150,992","$3,359,727","$4,608,256","$6,292,338"
Queensland,Doomadgee Aboriginal Community Council,Total Early Payment,"$656,444","$703,655","$774,057","$781,137","$949,143","$1,300,648","$3,555,717"
Queensland,Doomadgee Aboriginal Community Council,Total Financial Assistance Grant (inc Early Payment),"$1,354,209","$1,448,976","$1,507,554","$1,659,942","$1,783,131","$2,594,470","$3,670,853"
Queensland,Douglas Shire Council,Total Early Payment,"$659,898","$702,604","$796,596","$780,668","$885,713","$1,287,485","$4,366,597"
Queensland,Douglas Shire Council,Total Financial Assistance Grant (inc Early Payment),"$1,352,714","$1,469,785","$1,530,072","$1,601,829","$1,713,031","$2,914,627","$4,500,363"
Queensland,Etheridge Shire Council,Total Early Payment,"$2,443,066","$2,604,517","$2,838,424","$2,866,952","$3,161,034","$4,750,163","$7,499,230"
Queensland,Etheridge Shire Council,Total Financial Assistance Grant (inc Early Payment),"$5,013,965","$5,337,929","$5,531,634","$5,796,189","$6,211,615","$6,845,021","$7,803,393"
Queensland,Flinders Shire Council,Total Early Payment,"$3,108,098","$3,315,849","$3,608,767","$3,665,825","$4,030,082","$6,078,746","$9,411,144"
Queensland,Flinders Shire Council,Total Financial Assistance Grant (inc Early Payment),"$6,383,076","$6,791,028","$7,052,255","$7,399,900","$7,933,107","$8,657,724","$9,795,573"
Queensland,Fraser Coast Regional Council,Total Early Payment,"$3,423,718","$3,629,879","$3,909,145","$3,984,516","$4,296,509","$6,560,342","$5,310,598"
Queensland,Fraser Coast Regional Council,Total Financial Assistance Grant (inc Early Payment),"$6,990,250","$7,394,975","$7,654,036","$7,969,816","$8,517,530","$7,182,422","$5,624,246"
Queensland,Gladstone Regional Council,Total Early Payment,"$3,813,998","$3,793,168","$3,934,724","$4,125,619","$4,211,167","$6,815,968","$9,510,792"
Queensland,Gladstone Regional Council,Total Financial Assistance Grant (inc Early Payment),"$7,302,647","$7,582,662","$7,811,409","$8,030,364","$8,593,105","$8,993,648","$9,919,147"
Queensland,Gold Coast City Council,Total Early Payment,"$9,589,035","$10,047,252","$10,897,252","$10,941,223","$11,672,812","$17,665,023","$21,894,918"
Queensland,Gold Coast City Council,Total Financial Assistance Grant (inc Early Payment),"$19,349,198","$20,543,422","$21,181,752","$21,773,421","$23,043,942","$22,790,340","$22,917,898"
Queensland,Goondiwindi Regional Council,Total Early Payment,"$2,979,692","$3,104,045","$3,185,823","$3,224,269","$3,178,556","$4,761,326","$8,347,304"
Queensland,Goondiwindi Regional Council,Total Financial Assistance Grant (inc Early Payment),"$5,976,010","$6,172,189","$6,215,342","$6,171,341","$6,239,860","$7,217,032","$8,673,499"
Queensland,Gympie Regional Council,Total Early Payment,"$2,593,911","$2,694,240","$2,803,649","$2,963,167","$2,803,394","$4,886,389","$7,168,338"
Queensland,Gympie Regional Council,Total Financial Assistance Grant (inc Early Payment),"$5,188,035","$5,394,573","$5,588,490","$5,564,026","$5,946,827","$6,491,791","$7,466,107"
Queensland,Hinchinbrook Shire Council,Total Early Payment,"$1,013,928","$1,029,233","$959,264","$1,131,450","$942,041","$1,869,554","$5,112,615"
Queensland,Hinchinbrook Shire Council,Total Financial Assistance Grant (inc Early Payment),"$1,981,416","$1,953,086","$2,022,326","$2,005,036","$2,143,428","$3,489,138","$5,247,445"
Queensland,Hope Vale Aboriginal Shire Council,Total Early Payment,"$525,659","$563,119","$615,877","$625,641","$1,107,040","$1,037,194","$3,185,215"
Queensland,Hope Vale Aboriginal Shire Council,Total Financial Assistance Grant (inc Early Payment),"$1,083,792","$1,156,142","$1,203,402","$1,650,610","$1,772,276","$2,403,994","$3,291,594"
Queensland,Ipswich City Council,Total Early Payment,"$3,521,482","$3,698,432","$3,976,851","$4,102,751","$4,326,919","$6,815,320","$8,157,409"
Queensland,Ipswich City Council,Total Financial Assistance Grant (inc Early Payment),"$7,123,022","$7,529,019","$7,833,671","$8,118,529","$8,715,736","$8,539,790","$8,540,829"
Queensland,Isaac Regional Council,Total Early Payment,"$2,540,858","$2,638,405","$2,790,662","$2,887,330","$2,819,446","$4,741,972","$9,866,995"
Queensland,Isaac Regional Council,Total Financial Assistance Grant (inc Early Payment),"$5,081,241","$5,326,335","$5,504,738","$5,503,661","$5,872,146","$7,748,042","$10,223,219"
Queensland,Kowanyama Aboriginal Shire Council,Total Early Payment,"$818,955","$875,638","$955,448","$969,738","$945,306","$1,503,446","$3,656,217"
Queensland,Kowanyama Aboriginal Shire Council,Total Financial Assistance Grant (inc Early Payment),"$1,685,432","$1,795,670","$1,866,224","$1,845,409","$1,910,148","$2,716,806","$3,777,416"
Queensland,Livingstone Shire Council,Total Early Payment,"$1,877,905","$1,917,951","$2,079,386","$2,106,771","$2,294,214","$3,509,297","$4,482,068"
Queensland,Livingstone Shire Council,Total Financial Assistance Grant (inc Early Payment),"$3,692,874","$3,920,643","$4,059,221","$4,234,343","$4,551,295","$4,535,351","$4,686,826"
Queensland,Lockhart River Aboriginal Shire Council,Total Early Payment,"$811,912","$871,775","$962,571","$967,755","$983,776","$1,613,530","$3,908,476"
Queensland,Lockhart River Aboriginal Shire Council,Total Financial Assistance Grant (inc Early Payment),"$1,677,771","$1,798,618","$1,871,314","$1,878,724","$2,018,428","$2,868,929","$4,035,839"
Queensland,Lockyer Valley Regional Council,Total Early Payment,"$2,107,524","$2,189,628","$2,385,799","$2,434,714","$2,356,349","$4,047,410","$6,773,293"
Queensland,Lockyer Valley Regional Council,Total Financial Assistance Grant (inc Early Payment),"$4,215,820","$4,487,360","$4,673,631","$4,619,743","$4,958,632","$5,855,199","$7,045,019"
Queensland,Logan City Council,Total Early Payment,"$5,498,493","$5,728,506","$5,985,456","$6,233,358","$6,347,477","$10,211,119","$13,137,134"
Queensland,Logan City Council,Total Financial Assistance Grant (inc Early Payment),"$11,032,434","$11,493,795","$11,845,037","$12,124,382","$12,922,783","$13,036,658","$13,726,247"
Queensland,Longreach Regional Council,Total Early Payment,"$3,766,197","$3,717,147","$3,988,669","$4,079,602","$3,964,903","$6,756,331","$11,848,708"
Queensland,Longreach Regional Council,Total Financial Assistance Grant (inc Early Payment),"$7,155,036","$7,558,328","$7,821,347","$7,754,773","$8,305,160","$9,993,312","$12,296,832"
Queensland,Mackay Regional Council,Total Early Payment,"$3,216,819","$3,198,809","$2,978,851","$3,235,793","$2,992,561","$4,873,795","$4,491,507"
Queensland,Mackay Regional Council,Total Financial Assistance Grant (inc Early Payment),"$6,160,304","$6,068,182","$6,020,982","$6,014,021","$6,133,357","$5,595,070","$4,919,218"
Queensland,Mapoon Aboriginal Council,Total Early Payment,"$549,501","$593,362","$653,680","$659,339","$714,985","$1,101,278","$3,110,663"
Queensland,Mapoon Aboriginal Council,Total Financial Assistance Grant (inc Early Payment),"$1,141,880","$1,222,759","$1,272,758","$1,321,260","$1,420,934","$2,214,002","$3,209,033"
Queensland,Maranoa Regional Council,Total Early Payment,"$8,687,389","$8,741,911","$9,013,413","$8,620,785","$9,006,984","$13,652,429","$16,928,156"
Queensland,Maranoa Regional Council,Total Financial Assistance Grant (inc Early Payment),"$16,827,171","$17,421,954","$17,112,509","$16,968,960","$17,778,707","$17,402,111","$17,703,571"
Queensland,Mareeba Shire Council,Total Early Payment,"$3,417,848","$3,640,896","$3,950,376","$4,018,982","$4,389,651","$6,658,537","$8,822,876"
Queensland,Mareeba Shire Council,Total Financial Assistance Grant (inc Early Payment),"$7,009,370","$7,445,178","$7,726,039","$8,087,102","$8,666,859","$8,812,184","$9,213,414"
Queensland,Mckinlay Shire Council,Total Early Payment,"$2,677,636","$2,759,087","$2,765,461","$2,948,617","$2,735,551","$4,894,091","$7,763,483"
Queensland,Mckinlay Shire Council,Total Financial Assistance Grant (inc Early Payment),"$5,310,862","$5,422,205","$5,535,263","$5,483,733","$5,878,030","$6,784,348","$8,066,790"
Queensland,Moreton Bay Regional Council,Total Early Payment,"$7,659,299","$8,039,120","$8,547,634","$8,742,676","$9,070,132","$14,414,879","$16,802,713"
Queensland,Moreton Bay Regional Council,Total Financial Assistance Grant (inc Early Payment),"$15,482,724","$16,272,375","$16,766,125","$17,160,927","$18,353,204","$17,782,923","$17,601,053"
Queensland,Mornington Shire Council,Total Early Payment,"$799,414","$1,177,010","$1,294,331","$1,307,353","$1,275,429","$2,132,221","$4,126,770"
Queensland,Mornington Shire Council,Total Financial Assistance Grant (inc Early Payment),"$2,266,428","$2,423,275","$2,521,905","$2,488,244","$2,642,453","$3,344,679","$4,273,760"
Queensland,Mount Isa City Council,Total Early Payment,"$2,902,449","$3,086,252","$3,311,592","$3,402,857","$3,672,527","$5,626,875","$9,033,944"
Queensland,Mount Isa City Council,Total Financial Assistance Grant (inc Early Payment),"$5,941,747","$6,275,388","$6,508,551","$6,806,451","$7,287,496","$8,129,818","$9,396,955"
Queensland,Murweh Shire Council,Total Early Payment,"$3,346,421","$3,502,061","$3,739,012","$3,752,615","$3,727,375","$5,901,316","$10,553,575"
Queensland,Murweh Shire Council,Total Financial Assistance Grant (inc Early Payment),"$6,742,121","$7,102,881","$7,264,737","$7,208,023","$7,519,900","$8,925,425","$10,956,547"
Queensland,Napranum Aboriginal Shire Council,Total Early Payment,"$574,967","$616,228","$675,965","$683,448","$987,912","$1,134,977","$3,395,024"
Queensland,Napranum Aboriginal Shire Council,Total Financial Assistance Grant (inc Early Payment),"$1,186,034","$1,267,118","$1,317,794","$1,598,235","$1,715,942","$2,480,654","$3,505,311"
Queensland,Noosa Shire Council,Total Early Payment,"$1,087,174","$1,123,482","$1,155,946","$1,200,240","$1,192,864","$1,926,666","$2,000,780"
Queensland,Noosa Shire Council,Total Financial Assistance Grant (inc Early Payment),"$2,164,006","$2,236,982","$2,284,455","$2,307,810","$2,434,533","$2,279,061","$2,103,154"
Queensland,North Burnett Regional Council,Total Early Payment,"$5,853,609","$5,949,734","$5,553,676","$6,549,844","$5,468,895","$9,860,149","$12,310,056"
Queensland,North Burnett Regional Council,Total Financial Assistance Grant (inc Early Payment),"$11,453,059","$11,298,182","$11,706,917","$11,620,083","$11,804,092","$12,068,422","$12,849,708"
Queensland,Northern Peninsula Area Regional Council,Total Early Payment,"$1,991,774","$2,135,496","$2,349,326","$2,371,206","$2,317,421","$3,955,697","$5,827,083"
Queensland,Northern Peninsula Area Regional Council,Total Financial Assistance Grant (inc Early Payment),"$4,109,829","$4,397,604","$4,575,911","$4,517,036","$4,853,834","$5,329,025","$6,059,252"
Queensland,Palm Island Aboriginal Council,Total Early Payment,"$609,223","$653,632","$715,426","$728,950","$1,318,380","$1,209,422","$4,172,947"
Queensland,Palm Island Aboriginal Council,Total Financial Assistance Grant (inc Early Payment),"$1,257,894","$1,342,484","$1,399,893","$1,949,411","$2,093,765","$3,058,531","$4,308,348"
Queensland,Paroo Shire Council,Total Early Payment,"$2,539,272","$2,704,721","$2,902,044","$2,942,968","$2,957,078","$4,759,059","$8,960,268"
Queensland,Paroo Shire Council,Total Financial Assistance Grant (inc Early Payment),"$5,207,394","$5,499,526","$5,667,114","$5,684,709","$6,015,442","$7,371,101","$9,292,605"
Queensland,Pormpuraaw Aboriginal Shire Council,Total Early Payment,"$823,692","$878,362","$956,143","$970,852","$957,765","$1,611,513","$3,940,170"
Queensland,Pormpuraaw Aboriginal Shire Council,Total Financial Assistance Grant (inc Early Payment),"$1,690,915","$1,799,124","$1,868,152","$1,858,020","$1,992,667","$2,832,033","$4,067,171"
Queensland,Quilpie Shire Council,Total Early Payment,"$2,495,462","$2,553,239","$2,566,709","$2,691,387","$2,552,578","$4,425,399","$7,859,302"
Queensland,Quilpie Shire Council,Total Financial Assistance Grant (inc Early Payment),"$4,915,251","$5,025,121","$5,095,410","$5,057,978","$5,396,418","$6,597,148","$8,155,377"
Queensland,Redland City Council,Total Early Payment,"$2,650,699","$2,761,559","$2,906,061","$2,974,233","$3,013,263","$4,762,449","$5,453,344"
Queensland,Redland City Council,Total Financial Assistance Grant (inc Early Payment),"$5,318,385","$5,560,740","$5,701,919","$5,770,915","$6,079,902","$5,837,311","$5,714,992"
Queensland,Richmond Shire Council,Total Early Payment,"$1,946,133","$1,918,198","$1,779,633","$1,976,847","$1,758,963","$3,248,953","$6,698,841"
Queensland,Richmond Shire Council,Total Financial Assistance Grant (inc Early Payment),"$3,692,100","$3,632,042","$3,636,781","$3,607,400","$3,845,930","$5,172,533","$6,932,915"
Queensland,Rockhampton Regional Council,Total Early Payment,"$3,743,767","$3,976,090","$4,287,346","$4,367,237","$4,475,013","$7,092,269","$4,961,125"
Queensland,Rockhampton Regional Council,Total Financial Assistance Grant (inc Early Payment),"$7,655,336","$8,105,030","$8,390,652","$8,515,992","$9,032,478","$7,232,104","$5,272,659"
Queensland,Scenic Rim Regional Council,Total Early Payment,"$1,533,637","$1,561,606","$1,691,657","$1,715,611","$1,838,406","$2,810,060","$4,573,291"
Queensland,Scenic Rim Regional Council,Total Financial Assistance Grant (inc Early Payment),"$3,007,723","$3,191,112","$3,304,642","$3,422,098","$3,648,808","$4,126,793","$4,765,177"
Queensland,Somerset Regional Council,Total Early Payment,"$1,735,828","$1,747,090","$1,700,345","$1,917,503","$1,731,306","$3,148,314","$4,488,154"
Queensland,Somerset Regional Council,Total Financial Assistance Grant (inc Early Payment),"$3,364,290","$3,384,879","$3,502,688","$3,524,322","$3,757,613","$4,148,355","$4,679,720"
Queensland,South Burnett Regional Council,Total Early Payment,"$3,521,516","$3,495,884","$3,636,960","$3,837,554","$3,436,654","$5,724,402","$7,114,081"
Queensland,South Burnett Regional Council,Total Financial Assistance Grant (inc Early Payment),"$6,730,714","$6,998,730","$7,243,314","$7,024,612","$7,119,584","$7,154,470","$7,437,659"
Queensland,Southern Downs Regional Council,Total Early Payment,"$3,489,223","$3,465,701","$3,260,311","$3,484,245","$3,258,896","$5,207,946","$7,185,601"
Queensland,Southern Downs Regional Council,Total Financial Assistance Grant (inc Early Payment),"$6,672,441","$6,605,855","$6,534,844","$6,507,606","$6,610,348","$6,874,235","$7,499,980"
Queensland,Sunshine Coast Regional Council,Total Early Payment,"$5,351,209","$5,572,817","$6,213,026","$6,095,781","$6,610,831","$9,961,916","$11,688,730"
Queensland,Sunshine Coast Regional Council,Total Financial Assistance Grant (inc Early Payment),"$10,733,158","$11,557,380","$11,943,629","$12,231,604","$13,026,998","$12,476,686","$12,247,998"
Queensland,Tablelands Regional Council,Total Early Payment,"$2,848,862","$3,033,285","$3,294,363","$3,345,189","$3,273,665","$5,193,921","$5,927,103"
Queensland,Tablelands Regional Council,Total Financial Assistance Grant (inc Early Payment),"$5,839,666","$6,205,830","$6,437,061","$6,379,605","$6,610,692","$6,361,467","$6,211,478"
Queensland,Toowoomba Regional Council,Total Early Payment,"$7,100,726","$7,085,554","$6,929,832","$7,170,325","$6,961,577","$11,751,265","$8,958,720"
Queensland,Toowoomba Regional Council,Total Financial Assistance Grant (inc Early Payment),"$13,644,284","$13,760,490","$13,670,331","$13,631,884","$14,528,374","$12,217,373","$9,496,774"
Queensland,Torres Shire Council,Total Early Payment,"$1,606,841","$1,721,995","$1,892,768","$1,911,451","$2,131,116","$3,184,515","$7,434,140"
Queensland,Torres Shire Council,Total Financial Assistance Grant (inc Early Payment),"$3,314,071","$3,544,503","$3,687,668","$3,884,733","$4,173,163","$5,686,862","$7,686,400"
Queensland,Torres Strait Island Regional Council,Total Early Payment,"$5,201,482","$5,582,668","$5,712,482","$6,204,923","$5,687,102","$10,368,050","$15,357,943"
Queensland,Torres Strait Island Regional Council,Total Financial Assistance Grant (inc Early Payment),"$10,743,280","$11,082,917","$11,538,400","$11,469,512","$12,332,746","$13,771,704","$15,956,341"
Queensland,Townsville City Council,Total Early Payment,"$3,529,134","$3,651,743","$3,607,529","$3,862,505","$3,684,170","$6,196,993","$6,730,918"
Queensland,Townsville City Council,Total Financial Assistance Grant (inc Early Payment),"$7,032,961","$7,126,625","$7,238,606","$7,282,099","$7,675,520","$7,368,978","$7,061,463"
Queensland,Western Downs Regional Council,Total Early Payment,"$8,986,287","$8,893,424","$8,329,744","$8,800,843","$8,343,584","$13,085,119","$15,559,762"
Queensland,Western Downs Regional Council,Total Financial Assistance Grant (inc Early Payment),"$17,120,521","$16,915,811","$16,599,487","$16,539,182","$16,758,551","$16,203,825","$16,291,248"
Queensland,Whitsunday Regional Council,Total Early Payment,"$2,448,369","$2,600,357","$2,813,592","$2,861,034","$3,069,547","$4,726,514","$5,822,723"
Queensland,Whitsunday Regional Council,Total Financial Assistance Grant (inc Early Payment),"$5,006,774","$5,310,051","$5,501,886","$5,706,593","$6,107,716","$5,974,404","$6,089,749"
Queensland,Winton Shire Council,Total Early Payment,"$2,813,602","$2,840,146","$2,800,622","$3,034,195","$2,780,845","$5,017,813","$8,459,945"
Queensland,Winton Shire Council,Total Financial Assistance Grant (inc Early Payment),"$5,467,676","$5,537,368","$5,651,521","$5,612,879","$6,005,802","$7,177,268","$8,784,671"
Queensland,Woorabinda Aboriginal Council,Total Early Payment,"$269,327","$288,485","$316,347","$320,039","$647,381","$522,162","$2,739,134"
Queensland,Woorabinda Aboriginal Council,Total Financial Assistance Grant (inc Early Payment),"$555,220","$593,092","$616,884","$919,403","$982,265","$1,800,878","$2,819,897"
Queensland,Wujal Wujal Aboriginal Council,Total Early Payment,"$233,916","$251,058","$276,473","$279,049","$639,415","$461,938","$2,576,637"
Queensland,Wujal Wujal Aboriginal Council,Total Financial Assistance Grant (inc Early Payment),"$483,141","$517,260","$538,480","$870,947","$935,517","$1,668,563","$2,651,375"
Queensland,Yarrabah Aboriginal Shire Council,Total Early Payment,"$458,477","$491,209","$540,340","$548,603","$1,130,641","$904,983","$2,607,142"
Queensland,Yarrabah Aboriginal Shire Council,Total Financial Assistance Grant (inc Early Payment),"$945,358","$1,011,492","$1,055,500","$1,595,345","$1,710,978","$2,113,905","$2,699,920"
South Australia,Adelaide Hills Council,Total Early Payment,"$770,713","$847,384","$835,610","$911,504","$845,898","$1,488,395","$2,481,812"
South Australia,Adelaide Hills Council,Total Financial Assistance Grant (inc Early Payment),"$1,520,627","$1,537,852","$1,564,152","$1,581,658","$1,661,744","$1,810,018","$2,577,656"
South Australia,Adelaide Plains Council,Total Early Payment,"$666,483","$733,635","$751,368","$780,890","$783,981","$1,286,749","$1,885,665"
South Australia,Adelaide Plains Council,Total Financial Assistance Grant (inc Early Payment),"$1,384,885","$1,419,572","$1,448,481","$1,464,711","$1,568,978","$1,733,725","$1,993,545"
South Australia,Alexandrina Council,Total Early Payment,"$630,803","$729,068","$829,314","$831,199","$971,389","$1,579,515","$2,587,082"
South Australia,Alexandrina Council,Total Financial Assistance Grant (inc Early Payment),"$1,312,351","$1,424,507","$1,510,018","$1,620,041","$1,885,619","$2,371,420","$2,733,364"
South Australia,Anangu Pitjantjatjara Inc,Total Early Payment,"$660,059","$690,018","$711,528","$731,258","$736,404","$1,175,864","$1,713,378"
South Australia,Anangu Pitjantjatjara Inc,Total Financial Assistance Grant (inc Early Payment),"$1,319,930","$1,359,453","$1,381,389","$1,395,213","$1,469,031","$1,617,020","$1,795,984"
South Australia,Barunga West Council,Total Early Payment,"$275,042","$292,352","$290,779","$307,576","$264,583","$437,137","$448,445"
South Australia,Barunga West Council,Total Financial Assistance Grant (inc Early Payment),"$534,416","$539,546","$544,850","$518,202","$507,716","$492,307","$483,511"
South Australia,Berri Barmera Council,Total Early Payment,"$1,339,703","$1,335,323","$1,286,502","$1,365,194","$1,334,097","$2,095,719","$3,127,986"
South Australia,Berri Barmera Council,Total Financial Assistance Grant (inc Early Payment),"$2,570,054","$3,052,578","$2,980,653","$2,742,760","$2,655,677","$2,893,892","$3,168,774"
South Australia,City of Burnside,Total Early Payment,"$701,445","$765,416","$787,577","$804,177","$814,931","$1,279,434","$1,773,955"
South Australia,City of Burnside,Total Financial Assistance Grant (inc Early Payment),"$1,403,750","$1,446,017","$1,462,401","$1,476,224","$1,551,472","$1,685,189","$1,861,896"
South Australia,City of Charles Sturt,Total Early Payment,"$1,770,704","$1,927,673","$1,988,984","$2,077,773","$2,074,998","$3,375,219","$4,689,786"
South Australia,City of Charles Sturt,Total Financial Assistance Grant (inc Early Payment),"$3,576,945","$3,647,855","$3,735,450","$3,795,256","$4,019,050","$4,396,244","$4,919,183"
South Australia,City of Holdfast Bay,Total Early Payment,"$569,900","$618,610","$602,411","$670,200","$614,948","$1,095,515","$1,420,605"
South Australia,City of Holdfast Bay,Total Financial Assistance Grant (inc Early Payment),"$1,136,934","$1,140,659","$1,166,833","$1,181,943","$1,244,938","$1,360,038","$1,491,464"
South Australia,City of Mitcham,Total Early Payment,"$1,060,327","$1,154,208","$1,182,918","$1,232,952","$1,212,785","$1,976,903","$2,672,364"
South Australia,City of Mitcham,Total Financial Assistance Grant (inc Early Payment),"$2,385,051","$2,169,700","$2,210,593","$2,228,603","$2,342,059","$2,548,334","$2,805,591"
South Australia,City of Mount Gambier,Total Early Payment,"$1,327,882","$1,481,671","$1,731,375","$1,769,305","$1,797,600","$3,040,140","$4,354,898"
South Australia,City of Mount Gambier,Total Financial Assistance Grant (inc Early Payment),"$2,819,867","$3,103,057","$3,346,425","$3,761,972","$3,692,716","$4,029,328","$4,422,728"
South Australia,City of Onkaparinga,Total Early Payment,"$3,893,269","$4,097,398","$4,284,249","$4,401,311","$4,424,837","$7,799,569","$11,058,674"
South Australia,City of Onkaparinga,Total Financial Assistance Grant (inc Early Payment),"$7,555,814","$9,356,844","$8,685,533","$8,140,204","$8,993,450","$10,570,970","$11,274,491"
South Australia,City of Playford,Total Early Payment,"$5,981,643","$5,516,313","$5,784,457","$5,940,181","$6,004,094","$10,215,624","$16,275,039"
South Australia,City of Playford,Total Financial Assistance Grant (inc Early Payment),"$10,534,760","$10,942,026","$11,211,371","$11,332,215","$12,765,480","$15,110,840","$17,162,853"
South Australia,City of Port Adelaide Enfield,Total Early Payment,"$1,946,378","$2,134,762","$2,159,038","$2,292,258","$2,243,888","$3,727,939","$5,448,945"
South Australia,City of Port Adelaide Enfield,Total Financial Assistance Grant (inc Early Payment),"$4,085,588","$4,169,589","$4,077,925","$4,367,969","$4,381,867","$4,934,605","$5,699,027"
South Australia,City of Port Lincoln,Total Early Payment,"$678,698","$759,114","$869,112","$895,600","$890,943","$1,401,440","$2,080,647"
South Australia,City of Port Lincoln,Total Financial Assistance Grant (inc Early Payment),"$1,439,619","$1,571,797","$1,679,439","$1,696,107","$1,750,284","$1,916,400","$2,184,836"
South Australia,City of Prospect,Total Early Payment,"$322,078","$347,886","$344,602","$371,063","$355,997","$606,211","$830,149"
South Australia,City of Prospect,Total Financial Assistance Grant (inc Early Payment),"$640,664","$647,944","$658,450","$668,240","$706,633","$774,616","$870,491"
South Australia,City of Salisbury,Total Early Payment,"$3,995,448","$4,202,671","$4,555,783","$4,328,990","$4,736,509","$6,705,849","$10,501,716"
South Australia,City of Salisbury,Total Financial Assistance Grant (inc Early Payment),"$7,911,555","$8,670,189","$8,493,805","$8,756,945","$8,776,389","$9,704,472","$10,821,197"
South Australia,City of Victor Harbor,Total Early Payment,"$621,293","$328,125","$324,287","$361,457","$339,711","$577,361","$780,917"
South Australia,City of Victor Harbor,Total Financial Assistance Grant (inc Early Payment),"$1,062,286","$595,611","$614,595","$630,632","$655,978","$721,871","$819,185"
South Australia,City of West Torrens,Total Early Payment,"$1,556,700","$991,628","$1,013,942","$1,059,089","$1,054,838","$1,717,557","$2,362,332"
South Australia,City of West Torrens,Total Financial Assistance Grant (inc Early Payment),"$3,220,513","$1,869,528","$1,904,919","$2,333,338","$2,045,074","$2,212,955","$2,477,724"
South Australia,Clare & Gilbert Valleys Council,Total Early Payment,"$482,266","$564,532","$664,408","$684,536","$709,670","$1,194,228","$1,774,299"
South Australia,Clare & Gilbert Valleys Council,Total Financial Assistance Grant (inc Early Payment),"$1,153,650","$1,140,575","$1,371,272","$1,274,292","$1,409,046","$1,632,643","$1,921,792"
South Australia,Coorong District Council,Total Early Payment,"$1,568,972","$1,614,396","$1,566,242","$1,665,696","$1,596,247","$2,405,867","$3,125,007"
South Australia,Coorong District Council,Total Financial Assistance Grant (inc Early Payment),"$3,028,433","$3,024,253","$3,029,628","$3,038,948","$3,027,148","$4,923,795","$3,328,005"
South Australia,Copper Coast Council,Total Early Payment,"$904,437","$924,996","$1,073,095","$1,082,603","$1,117,688","$1,812,122","$3,057,460"
South Australia,Copper Coast Council,Total Financial Assistance Grant (inc Early Payment),"$1,745,939","$1,914,836","$2,043,586","$2,070,101","$2,495,149","$2,464,759","$3,211,254"
South Australia,Corporation of the City of Campbelltown,Total Early Payment,"$800,967","$869,532","$863,027","$922,002","$895,734","$1,510,100","$2,093,913"
South Australia,Corporation of the City of Campbelltown,Total Financial Assistance Grant (inc Early Payment),"$1,596,282","$1,616,022","$1,637,633","$2,109,528","$1,764,365","$1,925,883","$2,194,455"
South Australia,Corporation of the City of Marion,Total Early Payment,"$1,391,145","$1,521,392","$1,594,313","$1,620,266","$1,668,352","$2,612,520","$4,010,353"
South Australia,Corporation of the City of Marion,Total Financial Assistance Grant (inc Early Payment),"$2,789,070","$2,898,842","$2,954,285","$2,998,503","$3,302,787","$3,613,837","$4,191,514"
South Australia,Corporation of the City of Norwood Payneham & St Peters,Total Early Payment,"$565,527","$613,744","$595,062","$655,189","$607,097","$1,071,027","$1,405,174"
South Australia,Corporation of the City of Norwood Payneham & St Peters,Total Financial Assistance Grant (inc Early Payment),"$1,129,352","$1,130,713","$1,147,922","$1,161,256","$1,224,398","$1,321,192","$1,473,979"
South Australia,Corporation of the City of Port Augusta,Total Early Payment,"$1,510,089","$1,525,808","$1,557,484","$1,575,847","$1,599,250","$2,442,957","$4,304,778"
South Australia,Corporation of the City of Port Augusta,Total Financial Assistance Grant (inc Early Payment),"$2,927,322","$3,001,601","$3,006,978","$3,032,052","$3,123,274","$3,401,955","$4,518,588"
South Australia,Corporation of the City of Tea Tree Gully,Total Early Payment,"$1,574,486","$1,716,840","$1,762,735","$1,801,847","$1,820,004","$2,871,972","$3,984,875"
South Australia,Corporation of the City of Tea Tree Gully,Total Financial Assistance Grant (inc Early Payment),"$3,140,183","$3,231,613","$3,265,897","$3,297,133","$3,463,413","$3,777,618","$4,182,353"
South Australia,Corporation of the City of Unley,Total Early Payment,"$593,626","$644,359","$639,307","$683,220","$648,206","$1,097,321","$1,443,042"
South Australia,Corporation of the City of Unley,Total Financial Assistance Grant (inc Early Payment),"$1,186,184","$1,200,599","$1,216,658","$1,363,509","$1,282,422","$1,385,471","$1,515,121"
South Australia,Corporation of the City of Whyalla,Total Early Payment,"$2,177,231","$2,231,761","$2,297,883","$2,381,918","$2,358,897","$3,821,475","$5,783,756"
South Australia,Corporation of the City of Whyalla,Total Financial Assistance Grant (inc Early Payment),"$4,287,042","$4,417,849","$4,497,700","$4,538,168","$4,753,750","$5,187,741","$6,110,171"
South Australia,Corporation of the Town of Walkerville,Total Early Payment,"$117,269","$127,249","$135,538","$134,003","$141,290","$213,611","$303,552"
South Australia,Corporation of the Town of Walkerville,Total Financial Assistance Grant (inc Early Payment),"$233,890","$245,018","$248,662","$401,246","$265,120","$286,658","$318,484"
South Australia,District Council of Ceduna,Total Early Payment,"$1,273,263","$1,299,231","$1,253,780","$1,320,243","$1,274,683","$2,021,831","$2,824,059"
South Australia,District Council of Ceduna,Total Financial Assistance Grant (inc Early Payment),"$2,454,419","$2,445,229","$2,428,875","$2,435,021","$2,497,468","$2,614,973","$2,855,927"
South Australia,District Council of Cleve,Total Early Payment,"$692,460","$778,334","$761,733","$804,587","$791,593","$1,247,612","$1,789,187"
